match_id,season,year,team1,team2,winner,toss_winner,toss_decision,toss_won_match,venue,city,player_of_match,era,match_type,inn1_runs,inn2_runs,inn1_wickets,inn2_wickets,inn1_sixes,inn2_sixes,total_match_runs,high_scoring_match,result,win_margin,win_margin_category,chased_successfully,match_narrative,compound,positive,negative,neutral,excitement_level
335982,2007,2008,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bengaluru,field,0,M Chinnaswamy Stadium,Bangalore,BB McCullum,Early IPL (2007-13),League,222,82.0,3,10.0,14,3.0,304.0,0,runs,140.0,Dominant (100+ runs),0,"Royal Challengers Bengaluru won the toss and chose to field — a smart defensive move. An explosive innings of 222 runs set a massive, daunting target! The batting team dominated, barely losing any wickets — outstanding! The match featured 17 sixes, entertaining the crowd. Kolkata Knight Riders crushed Royal Challengers Bengaluru by 140 runs — a one-sided match.",0.8928,0.247,0.071,0.682,Very Exciting
335983,2007,2008,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,bat,1,"Punjab Cricket Association Stadium, Mohali",Chandigarh,MEK Hussey,Early IPL (2007-13),League,240,207.0,5,4.0,16,9.0,447.0,1,runs,33.0,Close (<50 runs),0,"Chennai Super Kings won the toss and chose to bat aggressively. An explosive innings of 240 runs set a massive, daunting target! Fans were thrilled by 25 sixes — spectacular power hitting! Chennai Super Kings won a thrilling nail-biting contest by just 33 runs! A record-breaking high-scoring thriller — cricket at its finest! A closely contested match that kept everyone on the edge of their seats!",0.9701,0.283,0.027,0.69,Very Exciting
335984,2007,2008,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,0,Feroz Shah Kotla,Delhi,MF Maharoof,Early IPL (2007-13),League,129,132.0,8,1.0,3,1.0,261.0,0,wickets,9.0,Dominant (8+ wkts),1,"Rajasthan Royals won the toss and chose to bat aggressively. The batting side struggled, posting only 129 runs. Delhi Capitals chased down the target easily, winning by 9 wickets.",0.7003,0.249,0.123,0.628,Very Exciting
335985,2007,2008,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai Indians,bat,0,Wankhede Stadium,Mumbai,MV Boucher,Early IPL (2007-13),League,165,166.0,7,5.0,5,6.0,331.0,0,wickets,5.0,Comfortable (5-7 wkts),1,Mumbai Indians won the toss and chose to bat aggressively. A competitive total of 165 runs was put up. Royal Challengers Bengaluru won by 5 wickets in an exciting chase.,0.886,0.342,0.057,0.6,Very Exciting
335986,2007,2008,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,0,Eden Gardens,Kolkata,DJ Hussey,Early IPL (2007-13),League,110,112.0,10,5.0,6,4.0,222.0,0,wickets,5.0,Comfortable (5-7 wkts),1,"Sunrisers Hyderabad won the toss and chose to bat aggressively. The batting side struggled, posting only 110 runs. Bowlers fought brilliantly, taking many wickets to restrict the batting side. Kolkata Knight Riders won by 5 wickets in an exciting chase.",0.7906,0.26,0.171,0.569,Very Exciting
335987,2007,2008,Rajasthan Royals,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,0,Sawai Mansingh Stadium,Jaipur,SR Watson,Early IPL (2007-13),League,166,168.0,8,4.0,7,7.0,334.0,0,wickets,6.0,Comfortable (5-7 wkts),1,"Punjab Kings won the toss and chose to bat aggressively. A competitive total of 166 runs was put up. The match featured 14 sixes, entertaining the crowd. Rajasthan Royals won by 6 wickets in an exciting chase.",0.9169,0.313,0.047,0.639,Very Exciting
335988,2007,2008,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,bat,0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,V Sehwag,Early IPL (2007-13),League,142,143.0,8,1.0,6,6.0,285.0,0,wickets,9.0,Dominant (8+ wkts),1,"Sunrisers Hyderabad won the toss and chose to bat aggressively. The batting side struggled, posting only 142 runs. The match featured 12 sixes, entertaining the crowd. Delhi Capitals chased down the target easily, winning by 9 wickets.",0.8271,0.258,0.098,0.644,Very Exciting
335989,2007,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,0,"MA Chidambaram Stadium, Chepauk",Chennai,ML Hayden,Early IPL (2007-13),League,208,202.0,5,7.0,6,8.0,410.0,1,runs,6.0,Close (<50 runs),0,"Mumbai Indians won the toss and chose to field — a smart defensive move. An explosive innings of 208 runs set a massive, daunting target! The match featured 14 sixes, entertaining the crowd. Chennai Super Kings won a thrilling nail-biting contest by just 6 runs! A record-breaking high-scoring thriller — cricket at its finest! A closely contested match that kept everyone on the edge of their seats!",0.9708,0.286,0.0,0.714,Very Exciting
335990,2007,2008,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,1,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,YK Pathan,Early IPL (2007-13),League,214,217.0,5,7.0,9,14.0,431.0,1,wickets,3.0,Close (1-4 wkts),1,"Rajasthan Royals won the toss and chose to field — a smart defensive move. An explosive innings of 214 runs set a massive, daunting target! Fans were thrilled by 23 sixes — spectacular power hitting! Rajasthan Royals won a nerve-wracking heart-stopping match by just 3 wickets! A record-breaking high-scoring thriller — cricket at its finest! A closely contested match that kept everyone on the edge of their seats!",0.94,0.212,0.0,0.788,Very Exciting
335991,2007,2008,Punjab Kings,Mumbai Indians,Punjab Kings,Mumbai Indians,field,0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,KC Sangakkara,Early IPL (2007-13),League,182,116.0,10,9.0,5,4.0,298.0,0,runs,66.0,Comfortable (50-99 runs),0,"Mumbai Indians won the toss and chose to field — a smart defensive move. A strong total of 182 runs was posted. Bowlers fought brilliantly, taking many wickets to restrict the batting side. Punjab Kings beat Mumbai Indians by 66 runs in a comfortable victory.",0.8411,0.286,0.144,0.57,Very Exciting
335992,2007,2008,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,1,M Chinnaswamy Stadium,Bangalore,SR Watson,Early IPL (2007-13),League,135,138.0,8,3.0,7,2.0,273.0,0,wickets,7.0,Comfortable (5-7 wkts),1,"Rajasthan Royals won the toss and chose to field — a smart defensive move. The batting side struggled, posting only 135 runs. Rajasthan Royals won by 7 wickets in an exciting chase.",0.9001,0.336,0.056,0.607,Very Exciting
335993,2007,2008,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,0,"MA Chidambaram Stadium, Chepauk",Chennai,JDP Oram,Early IPL (2007-13),League,147,152.0,9,1.0,4,5.0,299.0,0,wickets,9.0,Dominant (8+ wkts),1,"Kolkata Knight Riders won the toss and chose to bat aggressively. The batting side struggled, posting only 147 runs. Bowlers fought brilliantly, taking many wickets to restrict the batting side. Chennai Super Kings chased down the target easily, winning by 9 wickets.",0.8689,0.29,0.16,0.55,Very Exciting
335994,2007,2008,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,field,1,Dr DY Patil Sports Academy,Mumbai,AC Gilchrist,Early IPL (2007-13),League,154,155.0,7,0.0,5,11.0,309.0,0,wickets,10.0,Dominant (8+ wkts),1,"Sunrisers Hyderabad won the toss and chose to field — a smart defensive move. A competitive total of 154 runs was put up. The match featured 16 sixes, entertaining the crowd. Sunrisers Hyderabad chased down the target easily, winning by 10 wickets.",0.9423,0.338,0.0,0.662,Very Exciting
335995,2007,2008,Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,SM Katich,Early IPL (2007-13),League,158,162.0,8,6.0,2,3.0,320.0,0,wickets,4.0,Close (1-4 wkts),1,Delhi Capitals won the toss and chose to bat aggressively. A competitive total of 158 runs was put up. Punjab Kings won a nerve-wracking heart-stopping match by just 4 wickets! A closely contested match that kept everyone on the edge of their seats!,0.8118,0.19,0.045,0.765,Very Exciting
