player_of_match,awards,avg_excitement
MS Dhoni,17,0.96
RD Gaikwad,11,0.9566
SK Raina,14,0.9555
DA Miller,5,0.9547
RA Jadeja,16,0.9498
MEK Hussey,12,0.9492
F du Plessis,10,0.947
BA Stokes,5,0.9445
GJ Maxwell,9,0.9441
MP Stoinis,9,0.9429
AD Russell,15,0.9426
KL Rahul,13,0.9424
N Rana,5,0.9424
AB de Villiers,25,0.9423
SV Samson,11,0.9421
V Kohli,18,0.9418
SS Iyer,6,0.9417
SE Marsh,9,0.9412
MK Pandey,5,0.9402
WP Saha,5,0.9394
AT Rayudu,10,0.9379
JC Buttler,13,0.9376
RR Pant,8,0.9364
RV Uthappa,7,0.9363
KD Karthik,7,0.9362
SA Yadav,9,0.936
R Ashwin,6,0.9359
JJ Bumrah,10,0.933
RG Sharma,19,0.9328
BB McCullum,5,0.9298
DA Warner,18,0.9283
YS Chahal,6,0.9276
M Vijay,6,0.9266
CH Gayle,22,0.9243
YBK Jaiswal,5,0.9235
HH Pandya,8,0.9216
Yuvraj Singh,5,0.92
A Nehra,6,0.9186
Kuldeep Yadav,7,0.9182
B Kumar,6,0.918
S Dhawan,12,0.9163
DPMD Jayawardene,5,0.9162
PA Patel,5,0.9152
KS Williamson,6,0.9141
SPD Smith,5,0.914
Sandeep Sharma,7,0.9136
SC Ganguly,5,0.9132
Shubman Gill,10,0.9113
KA Pollard,14,0.9112
Rashid Khan,12,0.91
DR Smith,11,0.9089
KH Pandya,6,0.9086
TA Boult,6,0.9056
AC Gilchrist,7,0.9051
AJ Finch,5,0.9041
Harbhajan Singh,8,0.9038
Q de Kock,6,0.903
AM Rahane,13,0.9015
SR Watson,16,0.9001
MM Sharma,5,0.8994
DW Steyn,5,0.8986
CV Varun,6,0.8971
V Sehwag,11,0.8956
UT Yadav,10,0.8916
SP Narine,15,0.8896
BJ Hodge,6,0.8874
AR Patel,8,0.885
SR Tendulkar,8,0.8801
JP Faulkner,5,0.8796
JD Unadkat,6,0.8731
SL Malinga,6,0.8698
G Gambhir,13,0.8696
JM Bairstow,6,0.8695
YK Pathan,16,0.8692
NM Coulter-Nile,5,0.8622
JH Kallis,10,0.8608
A Mishra,12,0.8535
KC Sangakkara,5,0.8525
